                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.38057,                0.27549,                 1.0191,                 0.9778,                0.99463,                  0.995,                0.90855,                0.44791,                0.22398,                0.95688,             0.00014862,             0.00014862,             0.00014862
                     91,                0.24407,                0.21446,                0.94065,                0.97797,                0.99616,                  0.995,                0.91106,                0.44685,                0.21273,                0.97378,             0.00013625,             0.00013625,             0.00013625
                     92,                0.21722,                0.17663,                0.91135,                0.97602,                0.99581,                  0.995,                0.92092,                0.42649,                0.22209,                 0.9588,             0.00012387,             0.00012387,             0.00012387
                     93,                0.23502,                0.17097,                0.94781,                0.98067,                0.99418,                  0.995,                0.94019,                0.40228,                0.22214,                0.92032,              0.0001115,              0.0001115,              0.0001115
                     94,                0.21141,                0.15981,                0.92154,                0.98599,                 0.9942,                  0.995,                0.92269,                0.40881,                0.22992,                0.92862,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.20608,                0.17163,                0.91419,                0.94343,                      1,                0.99063,                0.89535,                0.41947,                0.24643,                0.94099,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.20384,                0.17351,                0.90276,                0.93938,                0.99251,                0.99063,                 0.9105,                0.41138,                0.26123,                0.93494,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.20941,                0.15108,                0.91702,                 0.9424,                0.99828,                0.99063,                0.91049,                0.41213,                0.26468,                0.92638,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.19472,                0.14512,                0.91118,                0.94405,                  0.995,                0.99063,                 0.9116,                0.41648,                0.24275,                0.92825,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.20973,                0.15454,                0.92088,                 0.9445,                 0.9967,                0.99063,                0.91673,                 0.4166,                0.23922,                0.93675,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.2002,                0.26076,                0.91645,                0.94366,                0.99881,                0.99063,                 0.9174,                0.41386,                0.23478,                0.93535,             2.4875e-05,             2.4875e-05,             2.4875e-05
